שם השכונה,מספר מקלט,כתובת,שטח,סוג,נגישות,מס' נפשות,שייכות,קואורדינטות ציר x,קורדינטות ציר y,כתובות למפה,מינהל,שכונה,קטגוריה
,"בית ספר מ""מ תל""י בית וגן",וולטה העלית 12,,,יסודי,,,31.75822356887193,35.17833999012759,"וולטה העלית 12, ירושלים",,,"קריית יובל, מקלט בבית ספר"
,"בית ספר מ""מ גוואטמלה",החרצית 9,,,יסודי,,,31.75823927885591,35.16371226314303,"החרצית 9, ירושלים",,,"קריית מנחם, מקלט בבית ספר"
,"בית ספר ממ""ד חמ""ד טל חיים",הנורית 18,,,יסודי,,,31.752590643955276,35.172531007274706,"הנורית 18, ירושלים",,,"קריית מנחם, מקלט בבית ספר"
,"בית ספר ממ""ד ראשית",דהומיי 6,,,יסודי,,,31.757300630350766,35.16570298653276,"דהומיי 6, ירושלים",,,"קריית מנחם, מקלט בבית ספר"
,"בית ספר מרכז נוער ע""י פיי שנק [אמית]",קוסטה ריקה 17,,,על יסודי,,,31.75505184394653,35.1721732420266,"קוסטה ריקה 17, ירושלים",,,"קריית מנחם, מקלט בבית ספר"
,חברון (בית דוד כנסת ישראל),הרב סרנא יחזקאל 4,,,על יסודי,,,31.764206745296526,35.19542711859227,"הרב סרנא יחזקאל 4, ירושלים",,,"גבעת מרדכי, מקלט בבית ספר"
,"בית ספר מרכז נוער דתי (אמי""ת)",קוסטה ריקה 15,,,על יסודי,,,31.755399261120015,35.17053086694708,"קוסטה ריקה 15, ירושלים",,,"קריית מנחם, מקלט בבית ספר"
,בית ספר אור אברהם טשכנוב,אבן האזל 10,,,על יסודי,,,31.795478200819954,35.21295071070948,"אבן האזל 10, ירושלים",,,"רוממה, מקלט בבית ספר"
,בית ספר אור אלחנן,אור אלחנן 4,,,על יסודי,,,31.7939043534899,35.20477626694864,"אור אלחנן 4, ירושלים",,,"רוממה, מקלט בבית ספר"
,בית ספר באר אברהם (סלאנים),דורש טוב 2,,,על יסודי,,,31.796788048485933,35.21223331349247,"דורש טוב 2, ירושלים",,,"רוממה, מקלט בבית ספר"
,בית ספר בית יעקב אמונת ציון- סורוצקין (בית יעקב אידיש),הרב זלמן סורוצקין 46,,,יסודי,,,31.799053087703594,35.20848908465662,"הרב זלמן סורוצקין 46, ירושלים",,,"רוממה, מקלט בבית ספר"
,חמדת התורה,הרב ישראל אלנקוה 21,,,יסודי,,,31.811739304379095,35.21436327431919,"הרב ישראל אלנקוה 21, ירושלים",,,"רמת שלמה, מקלט בבית ספר"
,חפץ חיים - יסוד ישראל,מעגלי הרים לוין 59,,,יסודי,,,31.801354917937818,35.219770305090016,"מעגלי הרים לוין 59, ירושלים",,,"סנהדריה, מקלט בבית ספר"
,"ת""ת בית רבן",ירמיהו 20,,,יסודי,,,31.792881374588884,35.212570962037454,"ירמיהו 20, ירושלים",,,"רוממה, מקלט בבית ספר"
,בית ספר גור (בנות),עזרת תורה 43,,,יסודי,,,31.799341328428984,35.2154990536705,"עזרת תורה 43, ירושלים",,,"רוממה, מקלט בבית ספר"
,בית ספר דרכי רחל,הרב מנחם בצרי 1,,,על יסודי,,,31.79946167737104,35.211018777262,"הרב מנחם בצרי 1, ירושלים",,,"רוממה, מקלט בבית ספר"
,ימין ה' רוממה,"המ""ג 1",,,יסודי,,,31.790611482774313,35.200095774319905,"המ""ג 1, ירושלים",,,"רוממה, מקלט בבית ספר"
,בית ספר החדש - דברי שם,ירמיהו 20,,,יסודי,,,31.79287225551944,35.21247440212822,"ירמיהו 20, ירושלים",,,"רוממה, מקלט בבית ספר"
,בית ספר החסידי עזרת תורה,עזרת תורה 45,,,יסודי,,,31.79915554311793,35.21583510397885,"עזרת תורה 45, ירושלים",,,"רוממה, מקלט בבית ספר"
,בית ספר חיי משה,ירמיהו 72,,,על יסודי,,,31.791964535502245,35.202022122781386,"ירמיהו 72, ירושלים",,,"רוממה, מקלט בבית ספר"
,כאייל תערוג,חיים מרינוב 10,,,יסודי,,,31.720674719275806,35.21746015898096,"חיים מרינוב 10, ירושלים",,,"הר חומה, מקלט בבית ספר"
,בית ספר יקירי ירושלים [ז-ח] אהליאב,אור אלחנן 2,,,יסודי,,,31.793709948875886,35.205421818961554,"אור אלחנן 2, ירושלים",,,"רוממה, מקלט בבית ספר"
,כנסת יהודה,מעגלי הרים לוין 35,,,יסודי,,,31.80363901339909,35.21843603392469,"מעגלי הרים לוין 35, ירושלים",,,"סנהדריה, מקלט בבית ספר"
,בית ספר כוכב מיעקב (טשעבין),חנה 12,,,על יסודי,,,31.795581953639235,35.2134563074193,"חנה 12, ירושלים",,,"רוממה, מקלט בבית ספר"
,בית ספר מטרסדורף,זכרון יעקב 3,,,יסודי,,,31.79590464478906,35.19995024102665,"זכרון יעקב 3, ירושלים",,,"רוממה, מקלט בבית ספר"
,בית ספר מכון בית יעקב למורות - ישן,מנחת יצחק 23,,,על יסודי,,,31.793511997165645,35.21063920204149,"מנחת יצחק 23, ירושלים",,,"רוממה, מקלט בבית ספר"
,בית ספר משכן ציון,אהלי יוסף 19,,,על יסודי,,,31.797359704005725,35.216366895173394,"אהלי יוסף 19, ירושלים",,,"רוממה, מקלט בבית ספר"
,בית ספר משכן שלמה,אהליאב 22,,,על יסודי,,,31.79255474305908,35.20276567439104,"אהליאב 22, ירושלים",,,"רוממה, מקלט בבית ספר"
,מאורי צ'רנובל (סקווירא),בר גיורא 17,,,יסודי,,,31.78954643972407,35.20978274548456,"בר גיורא 17, ירושלים",,,"הבוכרים - בית ישראל, מקלט בבית ספר"
,בית ספר סנהדרין,דורש טוב 20,,,יסודי,,,31.79714328441872,35.211330349195215,"דורש טוב 20, ירושלים",,,"רוממה, מקלט בבית ספר"
,בית ספר עזרת תורה,אהלי יוסף 15,,,יסודי,,,31.7965715230965,35.216177720358715,"אהלי יוסף 15, ירושלים",,,"רוממה, מקלט בבית ספר"
,בית ספר קדושת התורה,מנחת יצחק 14,,,על יסודי,,,31.794613233184176,35.20974229152237,"מנחת יצחק 14, ירושלים",,,"רוממה, מקלט בבית ספר"
,מים חיים מירושלים,"שד ש""י עגנון 1",,,יסודי,,,31.763581502594096,35.204525891604,"שד ש""י עגנון 1, ירושלים",,,"גוננים - קטמונים, מקלט בבית ספר"
,בית ספר תפארת ברוך,דורש טוב 18,,,על יסודי,,,31.7986192,35.21068005,"דורש טוב 18, ירושלים",,,"רוממה, מקלט בבית ספר"
,"בית ספר מ""מ רחביה ע""ש פולה בן-גוריון",דונש בן לברט 15,,,יסודי,,,31.77064640575213,35.20964754779872,"דונש בן לברט 15, ירושלים",,,"רחביה, מקלט בבית ספר"
,"בית ספר ממ""ד הרא""ל רמות",אברהם אידלזון 30,,,יסודי,,,31.81899135038116,35.190609298305624,"אברהם אידלזון 30, ירושלים",,,"רמות, מקלט בבית ספר"
,בית ספר אוהל רחל,הרב ישראל שרייבר 9,,,יסודי,,,31.819801769516662,35.188501924621974,"הרב ישראל שרייבר 9, ירושלים",,,"רמות, מקלט בבית ספר"
,בית ספר אוהל תורה - הרואה,הרואה 8,,,על יסודי,,,31.8199498200386,35.19931703811371,"הרואה 8, ירושלים",,,"רמות, מקלט בבית ספר"
,בית ספר אוצר התורה- תורת אברהם אבא,הרב חזקיה שבתאי 18,,,על יסודי,,,31.82147308035916,35.19749703811379,"הרב חזקיה שבתאי 18, ירושלים",,,"רמות, מקלט בבית ספר"
,בית ספר אמרי מלך,טרומן הרי 10,,,יסודי,,,31.81837528861449,35.20453209578585,"טרומן הרי 10, ירושלים",,,"רמות, מקלט בבית ספר"
,מרכז בית יעקב (החדש),מלכי ישראל 57,,,על יסודי,,,31.789969455713756,35.21317387810413,"מלכי ישראל 57, ירושלים",,,"הבוכרים - בית ישראל, מקלט בבית ספר"
,בית ספר בית אשר,הרב חזקיה שבתאי 21,,,על יסודי,,,31.821373227582214,35.19749604232831,"הרב חזקיה שבתאי 21, ירושלים",,,"רמות, מקלט בבית ספר"
,"בית ספר מ""מ רמות אלון - ע""ש יגאל אלון",אסירי ציון 2,,,יסודי,,,31.816023193029448,35.19505566313985,"אסירי ציון 2, ירושלים",,,"רמות, מקלט בבית ספר"
,משכן העדות,הרב מאיר בר אילן 32,,,על יסודי,,,31.7943758319381,35.21574337625636,"הרב מאיר בר אילן 32, ירושלים",,,"רוממה, מקלט בבית ספר"
,"בית ספר ממ""ד אהבת ישראל- בנים",מעוז 1,,,יסודי,,,31.82004024807849,35.2022471651919,"מעוז 1, ירושלים",,,"רמות, מקלט בבית ספר"
,"בית ספר ממ""ד נועם רמות - בנים",גדליה בובליק 26,,,יסודי,,,31.814534555658394,35.20259417716575,"גדליה בובליק 26, ירושלים",,,"רמות, מקלט בבית ספר"
,בית ספר בנות אלישבע,"מרן הגרי""ש אלישיב 2",,,על יסודי,,,31.823936516212697,35.189839542328315,"מרן הגרי""ש אלישיב 2, ירושלים",,,"רמות, מקלט בבית ספר"
,נוות ישראל,שמואל הנביא 24,,,על יסודי,,,31.789079765742027,35.225814816649255,"שמואל הנביא 24, ירושלים",,,"שמואל הנביא, מעלות דפנה, מקלט בבית ספר"
,בית ספר בני ציון,יצחק מירסקי 3,,,יסודי,,,31.82152184772786,35.19115833430367,"יצחק מירסקי 3, ירושלים",,,"רמות, מקלט בבית ספר"
,נטעי תורה (נתיבות דוד),משה זילברג 16,,,יסודי,,,31.75967398689865,35.18493608966195,"משה זילברג 16, ירושלים",,,"רמת שרת, רמת דניה, מקלט בבית ספר"
,נשמת אהרן ויעקב (ישיבה לצעירים),"החיד""א 21",,,על יסודי,,,31.76906224289417,35.18319747810865,"החיד""א 21, ירושלים",,,"בית וגן, מקלט בבית ספר"
,בית ספר דרך תבונה,הרב אור שרגא 4,,,יסודי,,,31.825905490296826,35.19047133466453,"הרב אור שרגא 4, ירושלים",,,"רמות, מקלט בבית ספר"
,בית ספר תבל - רמות,רקנטי 7,,,על יסודי,,,31.815238112596116,35.19398027116436,"רח' אַבְרָהָם רֵיקָנָטי 7, ירושלים",,,"רמות, מקלט בבית ספר"
,נתיבות מרדכי,הרב יצחק וינוגרד 1,,,על יסודי,,,31.840651146799374,35.24755120315351,"הרב יצחק וינוגרד 1, ירושלים",,,"נווה יעקב, מקלט בבית ספר"
,מדרשת אור תורה סטון,צונדק 1,,,על יסודי,,,31.809812180876033,35.19885111122338,"צונדק 1, ירושלים",,,"רמות, מקלט בבית ספר"
,בית הספר החסידי רמות,הרב בנימין מינץ 45,,,יסודי,,,31.824605156666458,35.19012273096284,"הרב בנימין מינץ 45, ירושלים",,,"רמות, מקלט בבית ספר"
,בית ספר חכמת שלמה רמות א,טרומן הרי 3,,,יסודי,,,"31.813544016985077 ",35.20623976312209,"טרומן הרי 3, ירושלים",,,"רמות, מקלט בבית ספר"
,בית ספר ים התורה [ישרש יעקב],הרב חזקיה שבתאי 19,,,על יסודי,,,"31.82149151283841 ",35.197453732452374,"הרב חזקיה שבתאי 19, ירושלים",,,"רמות, מקלט בבית ספר"
,בית ספר לבב חכמה,"המשורר אצ""ג 58",,,על יסודי,,,31.825917232689754,35.18678579197527,"המשורר אצ""ג 58, ירושלים",,,"רמות, מקלט בבית ספר"
,בית ספר מאור ישראל,הרב אור שרגא 21,,,יסודי,,,31.82645957344696,35.190109332452096,"הרב אור שרגא 21, ירושלים",,,"רמות, מקלט בבית ספר"
,בית ספר מכון אהרן וישראל סניף,הרב מ.ל. רובין 34,,,על יסודי,,,31.82248311019439,35.19369137848313,"הרב מ.ל. רובין 34, ירושלים",,,"רמות, מקלט בבית ספר"
,בית ספר מסילת יעקב - נתיב החינוך,"מרן הגרי""ש אלישיב 4",,,על יסודי,,,31.791728988628346,35.22471649339061,"מרן הגרי""ש אלישיב 4, ירושלים",,,"רמות, מקלט בבית ספר"
,עטרת חן - פסגות,מגן האלף 1,,,על יסודי,,,31.794857765908638,35.222308620432635,"מגן האלף 1, ירושלים",,,"מעלות דפנה, שמואל הנביא, מקלט בבית ספר"
,בית ספר משך חכמה חניכי הישיבות - רמות,הרב חזקיה שבתאי 12,,,יסודי,,,31.82028816841556,35.19898188945476,"הרב חזקיה שבתאי 12, ירושלים",,,"רמות, מקלט בבית ספר"
,עמל תלמים תורני,יפו 236,,,על יסודי,,,31.789583439636356,35.20053361664933,"יפו 236, ירושלים",,,"רוממה, מקלט בבית ספר"
,פאר השלום,דוד ילין 15,,,על יסודי,,,31.786281389610323,35.21610608781421,"דוד ילין 15, ירושלים",,,"גאולה, מקלט בבית ספר"
,בית ספר עטרת התורה,הרב אור שרגא 6,,,על יסודי,,,31.82608983735128,35.19078240501135,"הרב אור שרגא 6, ירושלים",,,"רמות, מקלט בבית ספר"
,פורת יוסף,משגב לדך 27,,,על יסודי,,,31.77550763535463,35.2330181050026,"משגב לדך 27, ירושלים",,,"הרובע היהודי, מקלט בבית ספר"
,בית ספר פני יהושוע,הרב חזקיה שבתאי 25,,,על יסודי,,,31.820381884851084," 35.19896904548312","הרב חזקיה שבתאי 25, ירושלים",,,"רמות, מקלט בבית ספר"
,בית ספר קהילות יעקב,רקנטי אברהם 41,,,יסודי,,,31.820103918158463," 35.18767900501164","רקנטי אברהם 41, ירושלים",,,"רמות, מקלט בבית ספר"
,בית ספר רמות פולין,יצחק מירסקי 10,,,יסודי,,,31.820684133292172,35.194052518502104,"יצחק מירסקי 10, ירושלים",,,"רמות, מקלט בבית ספר"
,קמניץ [ כנסת בית יצחק],עזרא 10,,,על יסודי,,,31.79076317543461,35.21972572531258,עזרא 10,,,"גאולה, מקלט בבית ספר"
,בית ספר תבונת יעקב,הרואה 21,,,יסודי,,,31.816161893472607,35.19786767663221,"הרואה 21, ירושלים",,,"רמות, מקלט בבית ספר"
,בית ספר תבונת יעקב סניף,שירת הים 4,,,יסודי,,,31.81791219,35.19969603,"שירת הים 4, ירושלים",,,"רמות, מקלט בבית ספר"
,בית ספר תורת חיים [יחי ראובן],יצחק מירסקי 1,,,יסודי,,,31.82163377,35.19090863,"יצחק מירסקי 1, ירושלים",,,"רמות, מקלט בבית ספר"
,"בית ספר מ""מ יד המורה",ארן זלמן 11,,,יסודי,,,"31.802110709976954 ",35.227565034304725,"ארן זלמן 11, ירושלים",,,"רמת אשכול, מקלט בבית ספר"
,בית ספר מעלה ערב,ארן זלמן 7,,,על יסודי,,,31.801401826344694,35.226414234885034,"ארן זלמן 7, ירושלים",,,"רמת אשכול, גבעת המבתר, מקלט בבית ספר"
,בית ספר אורה ברמה (אור רחל),הרב עוזי קלכהיים 17,,,יסודי,,,31.809445522811206,35.22280929578541,"הרב עוזי קלכהיים 17, ירושלים",,,"רמת שלמה, מקלט בבית ספר"
,בית ספר בית בינה,שלמה זלמן דרוק 99,,,על יסודי,,,31.813755840211655,35.219240199999994,"שלמה זלמן דרוק 99, ירושלים",,,"רמת שלמה, מקלט בבית ספר"
,בית ספר המסורה רמת שלמה,"האדמו""ר מלובביץ 52",,,יסודי,,,31.794269680678134,35.20106376901531,"האדמו""ר מלובביץ 52, ירושלים",,,"רמת שלמה, מקלט בבית ספר"
,בית ספר טשכנוב רמת שלמה,קהילות יעקב 19,,,יסודי,,,31.81313463261032,35.21754141896055,"קהילות יעקב 19, ירושלים",,,"רמת שלמה, מקלט בבית ספר"
,ישיבת מיר לצעירים,הרב יוסף שלמה כהנמן 11,,,על יסודי,,,31.809234793099968,35.22125852081204,"הרב יוסף שלמה כהנמן 11, ירושלים",,,"רמת שלמה, מקלט בבית ספר"
,בית ספר מעלות בית יעקב,מרדכי בוקסבאום 12,,,על יסודי,,,31.81279228439495,35.220066625368084,"מרדכי בוקסבאום  12, ירושלים",,,"רמת שלמה, מקלט בבית ספר"
,בית ספר רמת שלמה,חזון איש 62,,,יסודי,,,31.809994173906222,35.21893096268506,"חזון איש 62, ירושלים",,,"רמת שלמה, מקלט בבית ספר"
,בית ספר רמת שלמה (סניף),קהילות יעקב 15,,,יסודי,,,"31.811035123419185 ",35.21883467803103,"קהילות יעקב 15, ירושלים",,,"רמת שלמה, מקלט בבית ספר"
,בית ספר שירה חדשה - נעימות התורה,הרב בצלאל זולטי 26,,,יסודי,,,31.810056608539625,35.21699720436546,"הרב בצלאל זולטי 26, ירושלים",,,"רמת שלמה, מקלט בבית ספר"
,בית ספר תורה ברמה,אגרות משה 25,,,יסודי,,,31.81044582,35.22156688,"אגרות משה 25, ירושלים",,,"רמת שלמה, מקלט בבית ספר"
,בית ספר בית אהרן,משה זילברג 36,,,על יסודי,,,31.761199577286973,35.185297,"משה זילברג 36, ירושלים",,,"רמת שרת, רמת דניה, מקלט בבית ספר"
,"בית ספר מ""מ מנשה אליישר",שד שרת משה 1,,,יסודי,,,31.756870403913954,35.183476678486684,"שד שרת משה 1, ירושלים",,,"רמת שרת, רמת דניה, מקלט בבית ספר"
,"בית ספר מ""מ לוריא","הפלמ""ח 79",,,יסודי,,,31.763282879899446,35.20445494779922,"הפלמ""ח 79 , ירושלים",,,"רסקו - גבעת הורדים, גבעת מרדכי, מקלט בבית ספר"
,בית ספר אלסופרא,אל אסמאעי סמטה 4 2,,,יסודי,,,31.81352648067036,35.231955555310144,"אל אסמאעי סמטה 4 2, ירושלים",,,"שועפט, מקלט בבית ספר"
,תורת אמת,ירמיהו 16,,,על יסודי,,,31.793515449411345,35.21370927810338,"ירמיהו 16, ירושלים",,,"רוממה, מקלט בבית ספר"
,תורת אמת,חנה 25,,,יסודי,,,31.793154474015505,35.21155817431989,"חנה 25, ירושלים",,,"רוממה, מקלט בבית ספר"
,בית ספר שועפאט יסודי בנות- ב,אבו אלעלא אל מערי 4,,,יסודי,,,31.81484915567278," 35.22911084683756","אבו אלעלא אל מערי 4, ירושלים",,,"שועפט, מקלט בבית ספר"
,בית ספר שועפאט מכין בנות א,אל-ח'נסאא 21,,,יסודי,,,31.817471634195336,35.229859482613406,"אל-ח'נסאא 21, ירושלים",,,"שועפט, מקלט בבית ספר"
,בית ספר שועפאט תיכון,אלעלם 6,,,על יסודי,,,31.816075811048474,35.23123036443829,"אלעלם 6, ירושלים",,,"שועפט, מקלט בבית ספר"
,תורת שלמה,שמואל הנביא 46,,,על יסודי,,,31.791547238923666,35.2244111896611,"שמואל הנביא 46, ירושלים",,,"מעלות דפנה, שמואל הנביא, מקלט בבית ספר"
,בית ספר שועפט יסודי בנים א,אחמד שאוקי סמטה 3 15,,,יסודי,,,31.8136518430987," 35.23021807553548","אחמד שאוקי סמטה 3 15, ירושלים",,,"שועפט, מקלט בבית ספר"
,תפארת יעקב (אהל שמחה),שד גבעת משה 8,,,על יסודי,,,31.798506981448977,35.21543147431955,"שד גבעת משה 8, ירושלים",,,"רוממה, מקלט בבית ספר"
,בית ספר המסורתי,ביתר 8,,,על יסודי,,,31.754271354545164,35.22432051747318,"ביתר 8, ירושלים",,,"תלפיות ארנונה, מקלט בבית ספר"
,"בית ספר מ""מ זלמן ארן",דרך בית לחם 117,,,יסודי,,,31.748440325867925,35.21683789012808,"דרך בית לחם 117, ירושלים",,,"תלפיות ארנונה, מקלט בבית ספר"
,"בית ספר ממ""ד אהבת ישראל- בנות",דרך חברון 132,,,יסודי,,,31.748957574932668,35.218287312251626,"דרך חברון 132, ירושלים",,,"תלפיות ארנונה, מקלט בבית ספר"
,בית ספר מקיף ראס אלעמוד לבנות,דרך בית לחם הישנה 17,,,על יסודי,,,31.771041345779526,35.24242959193109,"דרך בית לחם הישנה 17, ירושלים",,,"ראס אל עמוד, מקלט בבית ספר"
,בית ספר בית וגן - בנים (לויכטר),יצחק יעקב לויכטר 3,,,יסודי,,,31.767964533940553,35.180540473015085,"יצחק יעקב לויכטר 3, ירושלים",,,"בית וגן, מקלט בבית ספר"
,בית ספר תיכון ליד האוניברסיטה,פרופ' מנשה הראל 1,,,על יסודי,,,31.78128675,35.19704616,"פרופ' מנשה הראל 1, ירושלים",,,"גבעת רם, מקלט בבית ספר"
,"מ""מ בית חינוך יער "" גבעת גונן",מרגולין 3,,,יסודי,,,31.754758578140056,35.194518649276496,"מרגולין 3, ירושלים",,,"גוננים - קטמונים, מקלט בבית ספר"
,בית חינוך יסודי ארנונה,השופט חיים כהן 16,,,יסודי,,,31.74456639848093,35.21834858113673,"השופט חיים כהן 16, ירושלים",,,"תלפיות ארנונה, מקלט בבית ספר"
,בית ספר אורה ושמחה,בית ישראל 8,,,על יסודי,,,31.788551599748804,35.22430118557624,"בית ישראל 8, ירושלים",,,"גאולה, מקלט בבית ספר"
,בית ספר בית אשר,הרב מ.ל. רובין 30,,,יסודי,,,31.822501368385808,35.19372355952262,הרב מ.ל. רובין 30,,,"רמות, מקלט בבית ספר"
,בית ספר חוות דעת,אהלי יוסף 17,,,יסודי,,,31.797494602283212,35.21626360546905,אהלי יוסף 17,,,"רוממה, מקלט בבית ספר"
,בית ספר בנות ציון,יצחק מירסקי 5,,,יסודי,,,31.821370064334076,35.19139430397801,יצחק מירסקי 5,,,"רמות, מקלט בבית ספר"
,מכין אלוואדי,אל מקדסי 90,,,יסודי,,,31.79260289873963,35.2399351676427,אל מקדסי 90,,,"ואדי ג'וז, מקלט בבית ספר"
,אור שרה,בית הדפוס 26,,,יסודי,,,31.786200442695367,35.18411290514746,בית הדפוס 26,,,"גבעת שאול, מקלט בבית ספר"
,אוהל רבקה (בנות חיל),בית הדפוס 30,,,יסודי,,,31.786008829555836,35.182799796477525,בית הדפוס 30,,,"גבעת שאול, מקלט בבית ספר"
,בית מרדכי - זוויעהל,ברוך רפפורט 26,,,על יסודי,,,31.789547381495318,35.22327286764261,ברוך רפפורט 26,,,"גאולה, מקלט בבית ספר"
,עטרת שלמה אריה,גבעת שאול 40,,,על יסודי,,,31.793435359300545,35.18917186764286,גבעת שאול 40,,,"גבעת שאול, מקלט בבית ספר"
,כנסת שלמה,דרך כרמית 50,,,על יסודי,,,31.766123999713702,35.170909896477006,דרך כרמית 50,,,"קריית יובל, מקלט בבית ספר"
,היכל אברהם,"המשורר אצ""ג 54",,,על יסודי,,,31.82563705914135,35.18631910997407,"המשורר אצ""ג 54",,,"רמות, מקלט בבית ספר"
,היכל משה פסגת זאב,הניידות 13,,,יסודי,,,31.826202905506232,35.241310325313684,הניידות 13,,,"פסגת זאב, מקלט בבית ספר"
,במעלה בית יעקב (מעלה שיר),הפסגה 31,,,על יסודי,,,31.767733959916466,35.183457091648116,הפסגה 31,,,"בית וגן, מקלט בבית ספר"
,מעלות חיים,הפסגה 52,,,על יסודי,,,31.76563323102879,35.18417365230247,הפסגה 52,,,"בית וגן, מקלט בבית ספר"
,הישיבה החדשה לצעירים,הרב בצלאל זולטי 6,,,על יסודי,,,31.811399536203904,35.2150370829828,הרב בצלאל זולטי 6,,,"רמת שלמה, מקלט בבית ספר"
,זוהר התורה,הרב זלמן סורוצקין 39,,,על יסודי,,,31.79908891339262,35.20598809165518,הרב זלמן סורוצקין 39,,,"רוממה, מקלט בבית ספר"
,באור שמואל,הרב ריינס 16,,,על יסודי,,,31.790501256787074,35.19501701181716,הרב ריינס 16,,,"גבעת שאול, מקלט בבית ספר"
,מגדל תורה (נחלת שמואל),"הרב ש""י זווין 5",,,על יסודי,,,31.840512432689497,35.247930809974584,"הרב ש""י זווין 5",,,"נווה יעקב, מקלט בבית ספר"
,דעת תורה,הרב שמעון חכם 12,,,על יסודי,,,31.795893757903382,35.21841860514972,הרב שמעון חכם 12,,,"רוממה, מקלט בבית ספר"
,מעלות התורה,חזון איש 29,,,על יסודי,,,31.8082054955348,35.220548496478116,חזון איש 29,,,"רמת שלמה, מקלט בבית ספר"
,"ישיבת רש""י",ישא ברכה 35,,,על יסודי,,,31.791553195296483,35.21921036466268,ישא ברכה 35,,,"גאולה, מקלט בבית ספר"
,הדרת משה,כי טוב 8,,,על יסודי,,,31.79518291326161,35.21662925414769,כי טוב 8,,,"רוממה, מקלט בבית ספר"
,תפארת אברהם טש,מעגלי הרים לוין 140,,,על יסודי,,,31.804125805199714,35.218382454147914,מעגלי הרים לוין 140,,,"סנהדריה, מקלט בבית ספר"
,ראש שערים,נחום חפצדי 15,,,על יסודי,,,31.78983820337739,35.18430689647765,נחום חפצדי 15,,,"גבעת שאול, מקלט בבית ספר"
,אחמד סאמח תיכון בנים,עבאסיה 51,,,על יסודי,,,,,עבאסיה 51,,,"ג'אבל מוכבר, מקלט בבית ספר"
,"מ""מ ארגנטינה הניסויי",עמנואל אולסבנגר 3,,,יסודי,,,31.76905850966287,35.17015971181646,עמנואל אולסבנגר 3,,,"קריית יובל, מקלט בבית ספר"
,אמרי משה (אורחות תורה),פנים מאירות 1,,,על יסודי,,,31.7974565728324,35.20010523398492,פנים מאירות 1,,,"רוממה, מקלט בבית ספר"
,אורחות בית יעקב (סמינר ירושלים),"רש""י 66",,,על יסודי,,,31.788256342784567,35.20845855230326,"רש""י 66",,,"הבוכרים - בית ישראל, מקלט בבית ספר"
,סקווירא,תובל 3,,,על יסודי,,,31.791601200420185,35.2066187829823,תובל 3,,,"רוממה, מקלט בבית ספר"
,בית ספר טשכנוב,שמשון פולונסקי 14,,,על יסודי,,,31.792555351720427,35.22246045414765,"שמשון פולונסקי 14, ירושלים",,,"גאולה, מקלט בבית ספר"
